iter	Passed	Remaining
402	12607	18676
403	12639	18646
404	12667	18610
405	12693	18570
406	12719	18532
407	12741	18487
408	12767	18448
409	12805	18427
410	12837	18397
411	12873	18373
412	12912	18353
413	12948	18327
414	12977	18293
415	13014	18269
416	13045	18238
417	13069	18197
418	13103	18169
419	13128	18129
420	13153	18090
421	13185	18059
422	13227	18042
423	13264	18019
424	13297	17991
425	13332	17964
426	13371	17943
427	13435	17955
428	13465	17922
429	13490	17882
430	13520	17849
431	13548	17813
432	13581	17784
433	13618	17760
434	13647	17726
435	13678	17693
436	13707	17659
437	13740	17630
438	13770	17597
439	13797	17561
440	13826	17526
441	13852	17488
442	13881	17454
443	13912	17421
444	13939	17385
445	13964	17346
446	14007	17329
447	14043	17304
448	14078	17276
449	14100	17233
450	14131	17201
451	14162	17170
452	14209	17158
453	14243	17129
454	14273	17097
455	14311	17073
456	14349	17050
457	14397	17038
458	14458	17041
459	14502	17024
460	14540	17000
461	14593	16994
462	14644	16985
463	14670	16947
464	14718	16934
465	14755	16908
466	14814	16908
467	14847	16877
468	14874	16840
469	14904	16807
470	14955	16796
471	14990	16769
472	15022	16737
473	15047	16698
474	15082	16670
475	15122	16647
476	15155	16617
477	15217	16618
478	15253	16590
479	15284	16558
480	15313	16523
481	15347	16493
482	15374	16457
483	15433	16453
484	15464	16421
485	15488	16380
486	15516	16345
487	15540	16305
488	15565	16265
489	15593	16229
490	15631	16204
491	15661	16171
492	15689	16135
493	15722	16104
494	15758	16076
495	15792	16047
496	15849	16041
497	15895	16023
498	15947	16011
499	15994	15994
500	16022	15958
501	16054	15926
502	16085	15893
503	16125	15869
504	16153	15833
505	16175	15792
506	16204	15757
507	16245	15733
508	16287	15711
509	16320	15680
510	16370	15665
511	16438	15668
512	16488	15653
513	16531	15630
514	16566	15601
515	16596	15567
516	16632	15538
517	16689	15529
518	16733	15508
519	16773	15483
520	16806	15451
521	16855	15434
522	16906	15419
523	16941	15389
524	16990	15372
525	17052	15366
526	17109	15356
527	17155	15336
528	17201	15315
529	17293	15335
530	17337	15312
531	17373	15283
532	17409	15254
533	17443	15221
534	17537	15243
535	17594	15230
536	17725	15283
537	17849	15328
538	17972	15371
539	18030	15359
540	18124	15377
541	18190	15371
542	18298	15400
543	18460	15474
544	18518	15460
545	18709	15556
546	20244	16765
547	20312	16753
548	20781	17071
549	21199	17345
550	21384	17425
551	21484	17436
552	21661	17509
553	21744	17505
554	21835	17507
555	21931	17513
556	22041	17530
557	22174	17564
558	22614	17840
559	22702	17837
560	22782	17828
561	22848	17807
562	22934	17801
563	22992	17774
564	23060	17754
565	23633	18122
566	23826	18195
567	24568	18686
568	24852	18825
569	25172	18989
570	25255	18975
571	25294	18926
572	25342	18885
573	25376	18833
574	25441	18804
575	25501	18771
576	25529	18715
577	25557	18659
578	25581	18600
579	25604	18541
580	25642	18492
581	25685	18447
582	25754	18421
583	25787	18368
584	25814	18313
585	25894	18294
586	26021	18308
587	26090	18281
588	26195	18279
589	26260	18248
590	26300	18201
591	26331	18147
592	26353	18087
593	26378	18029
594	26405	17973
595	26427	17913
596	26472	17870
597	26524	17831
598	26552	17775
599	26586	17724
600	26618	17671
601	26646	17616
602	26684	17568
603	26707	17510
604	26731	17452
605	26761	17399
606	26784	17341
607	26806	17283
608	26835	17229
609	26872	17180
610	26922	17140
611	26964	17095
612	26999	17045
613	27036	16996
614	27149	16995
615	27202	16957
616	27247	16913
617	27279	16862
618	27314	16812
619	27383	16783
620	27417	16733
621	27462	16689
622	27496	16638
623	27522	16583
624	27560	16536
625	27611	16496
626	27651	16449
627	27690	16402
628	27729	16355
629	27787	16319
630	27817	16267
631	27845	16213
632	27870	16158
633	27904	16109
634	27929	16054
635	27958	16001
636	27990	15950
637	28017	15897
638	28039	15840
639	28068	15788
640	28097	15736
641	28122	15682
642	28375	15754
643	28410	15705
644	28460	15664
645	28573	15658
646	28618	15613
647	28673	15575
648	28720	15532
649	28762	15487
650	28818	15449
651	28952	15453
652	29004	15412
653	29041	15364
654	29086	15320
655	29114	15267
656	29167	15227
657	29208	15181
658	29274	15148
659	29333	15111
660	29406	15081
661	29507	15065
662	29557	15023
663	29631	14994
664	29681	14952
665	29718	14904
666	29764	14859
667	29807	14814
668	29846	14767
669	29870	14712
670	29914	14667
671	29955	14621
672	29991	14572
673	30019	14519
674	30062	14474
675	30106	14429
676	30144	14382
677	30189	14337
678	30257	14304
679	30317	14267
680	30351	14217
681	30382	14166
682	30444	14130
683	30474	14078
684	30519	14034
685	30569	13992
686	30615	13948
687	30654	13901
688	30695	13855
689	30833	13852
690	30899	13817
691	30938	13770
692	30965	13717
693	31007	13671
694	31043	13623
695	31078	13574
696	31115	13526
697	31140	13473
698	31165	13420
699	31206	13374
700	31249	13328
701	31282	13279
702	31312	13228
703	31338	13176
704	31372	13127
705	31410	13080
706	31443	13031
707	31477	12982
708	31526	12939
709	31569	12894
710	31606	12846
711	31646	12800
712	31682	12752
713	31715	12704
714	31755	12657
715	31785	12607
716	31828	12562
717	31862	12514
718	31890	12463
719	31920	12413
720	31959	12367
721	32002	12322
722	32029	12271
723	32050	12218
724	32068	12164
725	32095	12113
726	32126	12063
727	32176	12021
728	32203	11971
729	32227	11919
730	32256	11870
731	32280	11818
732	32313	11770
733	32345	11722
734	32382	11675
735	32405	11623
736	32445	11578
737	32508	11541
738	32573	11504
739	32601	11454
740	32635	11406
741	32663	11357
742	32697	11309
743	32737	11264
744	32767	11215
745	32812	11172
746	32840	11122
747	32868	11073
748	32920	11031
749	32954	10984
750	32981	10935
751	33012	10886
752	33035	10836
753	33063	10787
754	33102	10741
755	33141	10696
756	33170	10647
757	33202	10600
758	33235	10553
759	33262	10504
760	33308	10460
761	33339	10413
762	33370	10365
763	33394	10315
764	33426	10268
765	33452	10219
766	33487	10172
767	33530	10129
768	33563	10082
769	33614	10040
770	33652	9995
771	33688	9949
772	33727	9904
773	33758	9857
774	33787	9809
775	33813	9760
776	33848	9714
777	33890	9670
778	33926	9624
779	33972	9582
780	34016	9538
781	34054	9493
782	34085	9446
783	34129	9402
784	34193	9365
785	34217	9316
786	34257	9271
787	34291	9225
788	34339	9183
789	34378	9138
790	34414	9093
791	34443	9045
792	34477	8999
793	34498	8950
794	34525	8902
795	34552	8855
796	34588	8809
797	34615	8762
798	34664	8720
799	34699	8674
800	34732	8628
801	34762	8582
802	34794	8536
803	34845	8494
804	34883	8449
805	34914	8403
806	34948	8358
807	34977	8311
808	35017	8267
809	35042	8219
810	35066	8172
811	35086	8123
812	35108	8075
813	35136	8028
814	35168	7982
815	35198	7936
816	35223	7889
817	35252	7843
818	35275	7795
819	35298	7748
820	35321	7701
821	35361	7657
822	35400	7613
823	35440	7569
824	35477	7525
825	35512	7480
826	35562	7439
827	35594	7394
828	35625	7348
829	35654	7302
830	35680	7256
831	35702	7209
832	35726	7162
833	35753	7116
834	35784	7071
835	35809	7024
836	35840	6979
837	35872	6934
838	35893	6887
839	35916	6841
840	35943	6795
841	35978	6751
842	36005	6705
843	36031	6659
844	36058	6614
845	36085	6568
846	36110	6522
847	36144	6478
848	36173	6433
849	36204	6389
850	36230	6343
851	36254	6297
852	36290	6254
853	36328	6210
854	36372	6168
855	36411	6125
856	36447	6081
857	36470	6035
858	36500	5991
859	36550	5950
