iter	Logloss
0	0.6520791055
1	0.6164163093
2	0.5845982226
3	0.5563786415
4	0.5315317046
5	0.5101697923
6	0.4910845391
7	0.4737767797
8	0.4572672275
9	0.4433524591
10	0.4310677967
11	0.4200256593
12	0.4106661805
13	0.4031097969
14	0.3963290156
15	0.3899661439
16	0.3843847718
17	0.3789513394
18	0.3744707313
19	0.3706130356
20	0.3671240037
21	0.364071646
22	0.3612975363
23	0.3583877973
24	0.3561714105
25	0.3541110887
26	0.3519967083
27	0.3500314618
28	0.3483366719
29	0.3469150869
30	0.3459347608
31	0.3446791249
32	0.3434139767
33	0.3423252085
34	0.3416007227
35	0.3404749087
36	0.3396792756
37	0.3385609217
38	0.3378459445
39	0.3371579189
40	0.3365493472
41	0.3359013195
42	0.3352275124
43	0.3347632615
44	0.3342781323
45	0.3338443698
46	0.333336192
47	0.3329285099
48	0.3324888389
49	0.3321786589
50	0.3318037104
51	0.3314491533
52	0.3312508683
53	0.3309605064
54	0.3306815217
55	0.3304559444
56	0.330229794
57	0.3301892053
58	0.329942644
59	0.3297683537
60	0.3296388203
61	0.3294716171
62	0.3293593832
63	0.3291978943
64	0.3290566561
65	0.3289255138
66	0.3287764326
67	0.3286311518
68	0.3285137759
69	0.328426657
70	0.3282880898
71	0.3281995585
72	0.3280724416
73	0.3279572134
74	0.3278748012
75	0.327828462
76	0.3277114646
77	0.3276392542
78	0.3275912524
79	0.3275224
80	0.3275197906
81	0.3274355306
82	0.3273891694
83	0.3273130123
84	0.3272405522
85	0.3271786507
86	0.327115665
87	0.3270786016
88	0.3270314253
89	0.3269063257
90	0.3268990754
91	0.3268927652
92	0.3268616138
93	0.3268395515
94	0.3267912058
95	0.3267033018
96	0.3266712434
97	0.3266449162
98	0.3265996774
99	0.3265300825
100	0.3264949963
101	0.3264327102
102	0.3264325433
103	0.3263922206
104	0.3263401792
105	0.3263031465
106	0.326303062
107	0.3262659113
108	0.3262185891
109	0.3261978426
110	0.3261830108
111	0.3261154115
112	0.3261121895
113	0.3260676197
114	0.3259926286
115	0.3259510282
116	0.3258904129
117	0.3258853856
118	0.3258657693
119	0.3258282989
120	0.3258029027
121	0.3258009703
122	0.3257862025
123	0.3257469474
124	0.3257245853
125	0.3257015978
126	0.3256870018
127	0.325656747
128	0.3256323772
129	0.3256102998
130	0.3256037071
131	0.3256032687
132	0.3255972354
133	0.3255560028
134	0.3255444
135	0.3255444
136	0.3255433595
137	0.3255180809
138	0.3254870682
139	0.3254870388
140	0.3254751156
141	0.3254629912
142	0.3254373953
143	0.3254067971
144	0.3253818225
145	0.3253724943
146	0.3253724941
147	0.3253388775
148	0.3252793804
149	0.3252463108
150	0.3252451406
151	0.3252436971
152	0.3252371883
153	0.3252040995
154	0.3252011032
155	0.325155043
156	0.3251156646
157	0.3250949327
158	0.3250947244
159	0.3250897735
160	0.3250300026
161	0.3250066832
162	0.3249771542
163	0.3249720539
164	0.3249420332
165	0.3249385737
166	0.3249121535
167	0.3249067069
168	0.3249065433
169	0.3248651431
170	0.3248275427
171	0.3248217703
172	0.3248002549
173	0.3247761893
174	0.3247761886
175	0.3247759363
176	0.3247115064
177	0.324694932
178	0.3246879236
179	0.324671045
180	0.3246476447
181	0.3246381372
182	0.3246357901
183	0.3246357866
184	0.3246086328
185	0.3245994143
186	0.3245886821
187	0.3245870449
188	0.3245430284
189	0.3245396733
190	0.3245079164
191	0.3245057791
192	0.3244765858
193	0.324451605
194	0.3244420533
195	0.3244360107
196	0.3244097092
197	0.3243920845
198	0.3243897632
199	0.3243681435
200	0.3243681425
201	0.3243319716
202	0.3243114674
203	0.3242870411
204	0.3242670707
205	0.3242668588
206	0.3242650102
207	0.3242193789
208	0.3241960996
209	0.324189496
210	0.3241574833
211	0.3241464745
212	0.3241440978
213	0.3241096093
214	0.3240864144
215	0.3240666691
216	0.3240318648
217	0.3239932125
218	0.3239683986
219	0.3239458416
220	0.3239223794
221	0.323858486
222	0.3238245501
223	0.3237503893
224	0.3237236854
225	0.3237078523
226	0.323678272
227	0.3236368851
228	0.3236114966
229	0.3235631472
230	0.3235392727
231	0.3235223143
232	0.3235165655
233	0.3234967581
234	0.3234655216
235	0.323455407
236	0.3234122289
237	0.3233934525
238	0.323372493
239	0.3233580858
240	0.3233422854
241	0.3233350931
242	0.3233123472
243	0.3232694402
244	0.3232496486
245	0.3231975367
246	0.3231813051
247	0.3231308634
248	0.3231136473
249	0.3230806824
250	0.3230661306
251	0.323045568
252	0.3230188599
253	0.3229996799
254	0.3229810102
255	0.3229666754
256	0.3229604234
257	0.3229564558
258	0.3229439988
259	0.3229341577
260	0.3229022032
261	0.3228682576
262	0.3228362586
263	0.3228058301
264	0.3227665559
265	0.3227383852
266	0.3227198355
267	0.3227043443
268	0.3226917058
269	0.3226451357
270	0.322630639
271	0.3226104297
272	0.3225897277
273	0.3225809026
274	0.3225626851
275	0.3225474207
276	0.3225147964
277	0.3224993404
